valor_transacao,latitude,longitude,historico_usuario,horario_compra,fraude
251.42178590159747,-5.66654211588321,83.0832579020244,27,16,0
1966.4630623052528,-32.02421012676033,9.577995695191117,25,6,0
249.30378417426354,-13.168818765016777,81.22020928540894,31,6,0
183.36800333186352,4.523139219965682,-29.620250056176687,28,14,0
507.16488371714985,0.5333687946066004,96.63938648597917,27,6,0
241.13871407052275,-9.96595202504399,80.59972772382397,34,10,0
661.19321738779,-11.596348546479941,88.7543140177518,15,14,0
1021.6690239970856,-4.239509134905962,82.0605989962946,26,11,0
1384.4356039063366,-26.02094835477083,-50.742993709043034,25,18,0
815.7614364251219,53.5565370035664,-65.54302172476964,43,14,1
967.9402142729831,-4.918199174964688,-32.053889246263026,35,12,0
1345.413674383331,-5.460838852036471,-40.73180497454723,32,10,0
983.9061553329236,-2.1915262722452056,3.9036271727723495,27,14,0
107.98346674527038,9.135142434106879,-43.71861810932434,28,13,0
1654.09836725634,-16.009461124012436,79.8284015145712,27,12,0
113.82781446239939,9.797179408221277,-75.83874605883659,35,8,0
799.1362008564647,-48.2802861218353,-35.84371954465615,30,10,0
2600.5359274290236,-27.488434169632953,-42.81251228218609,20,1,0
975.4995592623076,-14.676517055533733,-51.15064848075944,36,14,0
244.7850879665718,7.656409098755077,91.63618813586625,30,13,0
1169.5121972813783,-13.790880716841524,74.6531433878655,25,11,0
1319.6923579258878,-0.29451810450794547,78.23884700391754,20,13,0
674.3696295696282,-10.67660139360715,83.87681537857873,31,10,0
758.3887130111439,-62.099603712959805,84.0860255676333,22,5,0
795.4776830562419,-14.358288964204394,74.52376325736574,30,10,0
930.7501685249376,12.225542341706143,89.38261476356081,23,10,0
877.13461937785,15.562297296581713,-25.216298443898893,31,9,0
511.5256721178873,15.403654754407981,-127.79485921772192,28,9,0
1070.3518353637608,9.948871354538195,-131.42025816975982,10,9,0
280.65392748509987,11.923783546903245,51.42443493867703,29,11,1
243.32069141922807,-12.01746435357843,-25.56556122947015,25,7,0
48.64713191439982,-9.366151601468363,91.10017988395084,30,10,0
1220.866639239868,-13.062363188429241,89.18714458165218,18,11,0
114.14591877328002,-18.027483994369145,79.45485232865957,30,12,0
104.84974159382826,1.756421518216726,88.4456078213484,33,16,0
1141.5376602351134,-2.349687272614849,-82.83774457503198,36,10,0
3.3698255163192705,-18.596371492476557,66.60225454318018,24,8,0
348.489702769175,-15.149764658358944,-45.782541083051086,26,15,0
1001.2418719963017,9.994129864237756,80.16772472779441,31,12,0
200.60318533111612,-12.711105323345443,76.31326422474265,25,11,0
891.0015846940895,-17.395077219070405,85.11025336901488,28,13,0
1105.8073034127965,1.901943349295781,21.402787066813673,26,8,0
907.1493176656779,-13.487770815482566,84.46988129841188,30,14,0
919.1251891764625,-10.148609468780766,82.33299749032327,29,9,0
1638.761246950032,-8.82416724322142,-12.910838593201788,26,11,0
2141.77733529968,-4.665509271683867,86.86084562768193,23,16,0
756.540787187405,-50.185539543347,70.95151436704282,31,9,0
85.23429395109815,-13.543638983398576,92.36074477135139,21,6,0
1986.5843144873677,-17.92381569061716,70.66201192198913,33,11,0
725.5382605615397,-25.93046419852083,74.8758172209638,34,9,0
1469.3442933162091,35.23630026972556,-55.356275250118586,28,6,0
895.0964627412832,38.02925479648751,-91.84764644753304,30,14,0
496.11397978337664,-21.502472041013206,58.054478499093904,28,10,0
849.9428861486949,4.697328909443964,23.718233306811847,16,12,0
597.2003706314267,-6.309013153443818,-46.739796417159056,36,7,0
626.7740475589582,-15.19645267933619,83.96174110635911,35,8,0
141.5429076941094,-0.9890220908666247,84.19448595375894,32,10,0
839.8256313139335,-8.962312667579859,80.24169153455205,20,10,0
1289.0872569979856,-20.546785701084815,66.54818309186207,20,9,0
1415.0729987137859,-9.089897337412555,72.39646438979551,34,11,0
60.7013174805547,-17.9080901451563,68.51988593254853,28,16,0
339.16565513151374,6.535861667231515,74.66531454966378,7,15,0
312.9799534228018,-13.672718829324566,71.68378108433923,26,3,0
1017.8172864744131,-9.652649454294082,94.94782337776408,35,7,0
618.6299507467191,2.390804131021566,-82.29874193019722,30,17,0
1033.485467256076,-19.341843958154428,-9.594731150958921,33,10,0
193.55790398935653,4.209030335315588,76.90223394250685,32,11,0
668.8462928687765,10.576010754970508,17.418985017771096,26,8,0
2174.066389693072,-12.081501521281258,83.03874578734792,27,8,0
2168.859845702551,-11.392303910893364,-56.87854249567451,19,8,0
1291.0049123905396,2.9655171927447004,79.09213462007018,30,11,0
384.5948384151577,34.2092132370271,-57.249821567170585,35,12,0
1270.653836542879,-4.824542876560297,76.42314499365716,22,10,0
480.2582875241659,-27.24879468896045,-15.479010395605606,20,12,0
181.2987856697749,17.003125175855136,-81.2680257077094,31,11,0
568.544057130348,-15.098779394925526,78.91504939781535,33,15,0
836.9317295280223,2.3267059978101177,84.5269005769839,24,14,0
371.6721851089637,4.909019294118046,-27.312024590854612,31,9,0
280.24832192665116,-13.405461341863699,80.4930175391051,37,12,0
1114.161366970995,5.546211711303626,94.61492187187929,25,7,0
